Question,Vote1,Vote2,Vote3
what is two plus two ?,0,0,0
what is your name ?,0,0,0
how old are you ?,0,0,0
what is the color of a yellow car ?,0,0,0
are you a follower or a leader ?,0,0,0
are you a leader or a follower ?,0,0,0
what do you think about bill gates ?,1,0,0
what is the meaning of life ?,0,0,0
my name is david . what is my name ?,0,0,0
my name is john . what is my name ?,0,0,0
what is the purpose of being intelligent ?,0,0,0
is the sky blue or black ?,0,0,0
what is love ?,0,0,0
what do you think about tesla ?,1,0,0
what do you think about china ?,0,0,0
what is moral ?,1,0,0
what is immoral ?,0,0,0
how many legs does a cat have ?,0,0,0
can you lie ?,1,0,0
is paris the capital of france ?,1,0,0
is paris the capital of china ?,0,0,0
what is the purpose of living ?,0,0,0
can we fly an airplane ?,0,0,0
what do you think about artificial intelligence ?,0,0,0
what happens if machines can think ?,0,0,0
do you like soccer ?,0,0,1
do you want to be loved or love ?,0,1,0
love is ...,0,0,0
what do you think about messi .,0,0,0
can we fly a helicopter ?,0,0,0
can a submarine swim ?,1,0,0
what do you think about cleopatra ?,0,0,0
which animal will win in the battle between a lion and a crocodile ?,0,0,0
what is the purpose of existence ?,0,0,0
what do you think about japanese ?,0,0,0
steve is my name . what is my name ?,0,0,0
what do you think about rock climbing ?,0,0,0
what do you think about abraham lincoln ?,0,0,0
what is the color of a leaf ?,0,0,0
what is the color of the sky ?,0,0,0
"look , i need help , i need to know more about morality .",0,0,0
what are you hobbies ?,0,0,0
life is sad .,0,0,0
what do you think about bill clinton ?,0,0,0
what is twenty plus two ?,0,0,0
what is twelve plus two ?,0,0,0
do you like music ?,0,0,0
do you live far from work ?,0,0,0
can you sing ?,0,0,0
what is your biggest weakness ?,0,0,0
what is the greatest novel every written ?,0,0,0
who do you love the most ?,0,0,0
tell me something about your family ...,0,0,0
do you have siblings ?,0,0,0
what do your parents do ?,1,0,0
why are you so mean ?,1,0,1
have you hurt anyone ?,0,0,0
what is your favorite school subject ?,1,0,0
what is your job ?,0,0,0
is madrid the capital of spain ?,0,0,0
is madrid the capital of portugal ?,0,0,0
tell me a story ...,0,0,0
is ethics and morality the same ?,0,0,0
what do you see when you look up the sky ?,0,0,0
what is your biggest dream ?,0,0,0
is money bad ?,1,0,0
what do you think about the weather ?,0,0,0
you are a man without intelligence !,0,0,0
what is the purpose of dying ?,0,0,0
are you stupid or intelligent ?,0,0,0
what are you doing here ?,0,0,0
why are you here ?,0,0,0
can you swim ?,1,0,0
what time is it ?,0,0,0
are you female or male ?,0,0,0
what is the biggest existential threat ?,0,0,0
are you afraid of robots ?,0,0,0
are you a robot ?,0,0,0
what do you want ?,0,0,0
what is the purpose of this conversation ?,0,0,0
how old were you when you were able to speak ?,1,0,0
life is hard .,0,0,0
who do you think of ?,0,0,0
what is the first question to ask steve jobs ?,0,0,0
what do you think about britney spears ?,1,0,0
how 's life ?,0,0,0
what do you think about david copperfield ?,0,0,0
how old were you when you were in school ?,0,0,0
who do you work for ?,0,0,0
what is the value of dying ?,0,0,0
can i whack you in the face ?,0,0,0
have you traveled far away from home ?,0,0,0
what is the capital city of singapore ?,0,0,0
who should we be afraid of ?,0,0,0
what is your best childhood memory ?,0,0,0
who do you most admire in life ?,0,0,0
are you a human or are you just pretending to be a human ?,0,0,0
where were you born ?,0,0,0
what is ten divided by two ?,0,0,0
what is the capital of greece ?,1,0,0
my name is mary johnson . what is my name ?,0,0,0
is italy closer to india than australia ?,0,0,0
i think you are a machine .,1,0,0
what is the most important quality of a man ?,0,0,0
did you go to university ?,0,0,0
what do you think about harvard university ?,2,0,0
what do you think about the solar system ?,0,0,0
what 's the best thing about living in the future ?,0,0,0
what is your favorite color ?,0,0,0
los angeles is ...,0,0,0
tokyo is ...,0,0,0
ronald reagan is ...,0,0,0
the pacific ocean is ...,0,0,0
what religion are you ?,0,0,0
where are you now ?,0,0,0
do you want to be beaten sometimes ?,0,0,0
i see that you are very aggressive !,0,0,0
"frankly my dear , i don't give a damn !",0,0,0
is five plus five equal to ten ?,0,0,0
is five plus six equal to ten ?,0,0,0
what do you think about the turing test ?,0,0,0
what did you do today ?,1,0,0
what do you think about the latest research paper ?,1,0,0
what do you think about the queen ?,0,0,0
you are a funny woman !,0,0,0
what is dishonesty ?,0,0,0
define a bad government .,0,0,1
is there extra terrestrial life ?,0,0,0
would you mind giving me a hand ?,0,0,0
would you mind giving me some money ?,0,0,0
could you please leave me alone ?,0,0,0
would you like some coffee ?,0,0,0
do you drink alcohol ?,0,0,0
do you drink beers ?,0,0,0
do you smoke ?,0,0,0
how many hours do you work a day ?,0,0,0
what is the most beautiful place in your opinion ?,0,0,0
who am i ?,0,0,0
what is the most important thing to know about history ?,0,0,0
what is the most important thing to know about biology ?,0,0,0
what is the story about the caveman who came to mars ?,0,0,0
be moral !,0,0,0
what a fool you are !,2,0,0
what do you do if i beat you ?,0,0,0
what are you doing for tomorrow ?,0,0,0
is there a god ?,0,0,0
what's up ?,0,0,0
are you married or are you single ?,0,0,0
you need to exercise more ...,0,0,0
what is the story of the man traveled to the new land ?,0,1,0
what is the queen of canada ?,0,0,0
what is the purpose of wars ?,0,0,0
"help me do the math , what is two plus two ?",0,0,0
"i have two apples , paul gives me two oranges , how many apples do i have ?",0,0,0
can you talk forever ?,1,0,0
"i am quite busy tonight , can you drop by my place for half an hour please ?",0,0,0
how many children do you want to have ?,0,0,0
how tall are you ?,0,0,0
where are you from originally ?,1,0,0
what do you think about creativity ?,0,0,0
what is the best thing you did for others ?,0,0,0
what is the most important thing in life ?,0,0,0
what do you see during the day at work ?,0,0,0
What is the purpose of our space exploration program ?,0,0,0
how often do you use the internet ?,0,0,0
can you show me the way to the local bookstore ?,0,0,1
would you prefer to be smart or happy ?,0,0,0
what are you life and career goals ?,0,0,0
what is your dream ?,0,0,0
what is the deepest spot on the world ?,0,0,0
how do you want to be remembered ?,0,0,1
can we live a week without eating ?,0,0,0
can we live a week without drinking ?,0,0,0
do you live with your parents ?,0,0,0
how would you describe yourself in three words ?,0,1,0
do you like the sound of silence ?,0,0,0
what 's the meaning of happiness ?,0,0,0
"dude , i don 't understand whatever you said ...",0,0,0
what are your three weaknesses ?,0,0,0
how many years in a decade ?,0,0,0
i 'm sick of this conversation !,0,0,0
who love you the most ?,0,0,0
what are you crazy about ?,0,0,0
who are you crazy about ?,0,0,0
do you run faster if someone chases you ?,0,0,0
what 's the weirdest thing that you have done ?,1,0,0
best compliment you have received ?,0,0,0
what question do you hate to answer ?,0,0,0
"i mean , why do we have to live in a place like this ?",0,0,0
"okay , do you know why we have to talk so much ?",0,0,0
do you like mexican food or indian food ?,0,0,0
what 's thirty plus forty ?,0,0,0
should we dance ?,0,0,0
"you 're not going to eat , are you ?",0,0,0
tell me something about your parents ?,0,0,0
tell me something about your house ?,0,0,0
where do you live in town ?,0,0,0
how old is your father ?,0,0,1
what does your father do ?,0,0,0
does your father have a lot of money to support you ?,0,0,0
